block,bot,z1,z2,consensus_skill,rayproj_skill_diagnostic,best_seed,price_mse,n_conditions,n_races,rank_median,rank_lo95,rank_hi95,skill_lo95,skill_hi95,boot_coverage,boot_level,boot_lower_bound
0,commodity_spot_1,0.22612125464172217,-0.9961711455755958,0.4997887790554205,0.7957973072660319,7,0.0006168219331221131,12,47,1.0,1.0,6.025000000000006,-1787939322.7361035,0.9536564973356387,1.0,cluster,False
0,ladder_arb_1,0.41915427440228165,-1.2383909477353885,0.36586140328400624,1.0975104353716536,7,0.0006168219331221131,5,7,2.5,1.0,8.0,-5853565011.863908,1.2938708842198883,1.0,cluster,False
0,cotton_fundamental_1,0.16091219368353232,0.29485793124745746,0.356475680396434,-0.056950462067689084,7,0.0006168219331221131,4,32,3.0,2.0,6.650000000000006,-1080595100.7750158,0.5362695631826219,0.64,cluster,False
0,ensemble_1,-0.7659308098479618,2.0389586101288955,0.2909211112623992,-1.866430675391912,7,0.0006168219331221131,4,6,3.0,1.0,6.0,-0.12751421117549397,1.0321122627828674,0.895,cluster,False
0,commodity_1,-0.15184698909511596,-0.07173037889216899,0.20256061687120802,-0.07448909293168432,7,0.0006168219331221131,1,10,5.0,2.1750000000000003,5.0,0.060565803176846185,2334492529.2882547,0.64,cluster,False
0,nass_cotton_1,-0.09797715155657268,-0.13089083242283142,-0.10808647835617259,0.004472061634507682,7,0.0006168219331221131,1,2,6.0,4.175000000000001,7.0,-0.30080115541922847,46365119.36840519,0.64,cluster,False
0,diffusion_mc_1,0.5303252477840178,0.10738018544564847,-0.12751421117549397,0.34903095058025935,7,0.0006168219331221131,14,39,6.0,2.9750000000000005,9.0,-0.538966886379105,446004055.9596032,1.0,cluster,False
0,news_drift_1,-0.20198126720191528,0.4243004291985185,-0.2236272317439932,-0.4217858201592048,7,0.0006168219331221131,11,26,7.0,1.9750000000000005,9.0,-19183988.405403797,1234732607.853561,1.0,cluster,False
0,pair_trading_1,-0.08465446020152326,0.4873406622088503,-0.3412952306297094,-0.3689601294878372,7,0.0006168219331221131,13,47,8.0,3.0,10.025000000000006,-0.6173273816738284,653821725.7187034,1.0,cluster,False
0,cftc_softs_1,0.027790881483054482,-0.8971834145969759,-0.44199587467624535,0.5788681302860857,7,0.0006168219331221131,3,31,10.0,3.3500000000000005,10.0,-0.6264232782792486,680667333.2751032,0.64,cluster,False
0,mercury_ensemble_1,-0.06191317409151933,-0.018471099006409565,-0.48317387510478393,-0.03706270510021085,7,0.0006168219331221131,1,1,10.0,6.0,11.0,-7677723305.357809,-0.3707179393076129,0.63,cluster,False
