window,u_bothbad_old_grid,u_bothbad_extended,interior,u_main,decisive_ll_bothbad,decisive_ll_main,degradation_x_mpd
2023-07-31,1.4,1.3075324613901305,True,0.5939218783669488,0.6232694549330542,0.6200214468565913,8.12002019115715
2023-08-31,1.4,1.2954080641204044,True,0.6059170612862647,0.6522652443537709,0.6504487898935513,4.541136150549018
2023-09-30,1.4,1.269122070037124,True,0.608055416365741,0.6683483509818626,0.6666655911910595,4.206899477007808
2023-10-31,1.4,1.2530793760288406,True,0.608055416365741,0.6703492479097453,0.6696158245983288,1.8335582785411475
2023-11-30,1.2213523153151091,1.2276959609650353,True,0.6443358440122643,0.6410858146641261,0.639392991662293,4.232057504582609
2023-12-31,1.4,1.2406893930828493,True,0.6851521446052636,0.6267937338210801,0.6265365231872931,0.6430265844672989
2024-01-31,1.2264452818870777,1.2328043849086399,True,0.6966482606372624,0.6379687743141991,0.6379939003276753,-0.06281503369065522
2024-02-29,1.4,1.2581244150424284,True,0.7097650409494625,0.6275287869751437,0.6285053024057742,-2.441288576576217
2024-03-31,1.4,1.2637182141087002,True,0.723970110489407,0.6329925717170334,0.6327197560331858,0.6820392096190675
2024-04-30,1.4,1.2890293136160191,True,0.7473381154916766,0.6381618971455069,0.6380876558811172,0.1856031609742681
2024-05-31,1.4,1.3121838437512467,True,0.7848552557819245,0.6348408421150725,0.6345905458857598,0.6257405732817967
2024-06-30,1.4,1.3278531582657143,True,0.7958747748107974,0.6532306719635591,0.6532162687518381,0.03600802930242564
2024-07-31,1.4,1.3355007465861735,True,0.8029184782425066,0.6454613334376247,0.6452157482623919,0.6139629380819134
