window,n,mean_d_logloss,mean_d_brier,mean_ll_bt,mean_ll_lat
2023-07-31,2561,-0.000239833489316151,-0.00011724440908177734,0.6214519586522181,0.6216917921415342
2023-08-31,5679,0.00016335912074379318,6.072039951120716e-05,0.6485041368199984,0.6483407776992548
2023-09-30,6731,-6.656819587575973e-05,-3.4878839783075253e-05,0.664004187684557,0.6640707558804327
2023-10-31,11864,-7.140334561071009e-05,-3.6578057049005e-05,0.6703582028541937,0.6704296061998044
2023-11-30,24882,-0.0001680156330526372,-8.320213683256204e-05,0.6417360795360569,0.6419040951691094
2023-12-31,25663,-0.00010307578422189719,-6.32656424577604e-05,0.6331743184647862,0.6332773942490081
2024-01-31,19747,-0.00010296494465448974,-5.929401096328518e-05,0.6413681611755917,0.6414711261202463
2024-02-29,36104,-0.0002458789194650808,-0.0001265365201028556,0.6321652121771684,0.6324110910966333
2024-03-31,48760,-6.495168186713786e-05,-4.4110715457846785e-05,0.6370626743071791,0.6371276259890463
2024-04-30,107447,-8.42233741417561e-05,-5.01001159922026e-05,0.6418936078485499,0.6419778312226916
2024-05-31,89995,-5.905313561607049e-05,-4.039700973188729e-05,0.6408449826249341,0.6409040357605501
2024-06-30,65692,-7.300474406538676e-05,-4.073513989176001e-05,0.6573996288688237,0.657472633612889
2024-07-31,34934,-5.140641932645692e-05,-3.2039546324947246e-05,0.6502629552012003,0.6503143616205267
