window,n_decisive,n_scoreable,unscoreable_frac
2023-07-31,3565,2561,0.28162692847124826
2023-08-31,8040,5679,0.29365671641791047
2023-09-30,9831,6731,0.3153290611331503
2023-10-31,26216,11864,0.5474519377479402
2023-11-30,44967,29422,0.3456979562790491
2023-12-31,43776,25663,0.413765533625731
2024-01-31,53060,19747,0.6278364116094987
2024-02-29,122884,36104,0.7061944598157612
2024-03-31,201758,48760,0.7583243291467996
2024-04-30,245243,107447,0.561875364434459
2024-05-31,135485,89995,0.3357567258368085
2024-06-30,109718,65692,0.40126506133906925
2024-07-31,46435,34934,0.2476795520620222
