window,n,mean_d_logloss,mean_d_brier,mean_ll_bt,mean_ll_lat,var_per_vote,bin
2023-07-31,2561,-0.00026151075336390675,-0.00012785303168948243,0.6214519586522181,0.621713469405582,2.9711494675985606e-05,moderate
2023-08-31,5679,0.00017631646688225753,6.65917845209934e-05,0.6485041368199984,0.6483278203531162,2.955042818239312e-05,high
2023-09-30,6731,-7.457208119376836e-05,-3.8598327611035385e-05,0.664004187684557,0.6640787597657507,1.6102945249316034e-05,high
2023-10-31,11864,-7.121044143781269e-05,-3.61647697246635e-05,0.6703582028541937,0.6704294132956315,8.350281925406661e-06,moderate
2023-11-30,29422,0.0022104172277599026,0.0010510797670832258,0.6470858402312136,0.6448754230034538,0.00702625185493186,low
2023-12-31,25663,-8.250272308573872e-05,-5.4594803045590934e-05,0.6331743184647862,0.633256821187872,1.7146675917758167e-05,low
2024-01-31,19747,-0.00010352179980883216,-5.966543215304218e-05,0.6413681611755917,0.6414716829754005,1.564513454338421e-05,moderate
2024-02-29,36104,-0.0002489549706356274,-0.00012802566332810916,0.6321652121771684,0.6324141671478039,1.9897270244834444e-05,moderate
2024-03-31,48760,-4.7915840717633325e-05,-3.637127475361982e-05,0.6370626743071791,0.6371105901478966,1.8623832049126122e-05,low
2024-04-30,107447,-8.311027384372752e-05,-4.96483141514188e-05,0.6418936078485499,0.6419767181223934,1.4663942485721686e-05,low
2024-05-31,89995,-6.59730730832667e-05,-4.2922727970111316e-05,0.6408449826249341,0.6409109556980174,2.048698785192644e-05,low
2024-06-30,65692,-7.542778579534467e-05,-4.187417822083602e-05,0.6573996288688237,0.657475056654619,6.574308540249316e-06,low
2024-07-31,34934,-4.748577702086978e-05,-2.9924682927628656e-05,0.6502629552012003,0.6503104409782211,1.4858317397313185e-05,moderate
